model,cv,n_neighbors,accuracy,f1,roc_auc,n_bootstrap,shrinkage,solver,bandwidth,kernel
lda,bootstrap_1000,,0.7217285714285715,0.7198660807462952,0.7791677325359967,1000.0,0.04,lsqr,,
lda,10-fold,,0.7285714285714284,0.7186507936507937,0.7583333333333333,,0.05,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7371428571428571,,0.05,lsqr,,
lda,5x2-stratified,,0.7214285714285714,0.7272619047619047,0.7591836734693878,,0.05,lsqr,,
lda,bootstrap_10,,0.7342857142857143,0.7353786596190911,0.8039363464850398,10.0,0.05,lsqr,,
lda,bootstrap_50,,0.7242857142857142,0.7233614210304595,0.7824302674875568,50.0,0.05,lsqr,,
lda,bootstrap_100,,0.7162857142857143,0.7162033016034581,0.7794836827594475,100.0,0.05,lsqr,,
lda,bootstrap_500,,0.7201714285714286,0.7185621801852154,0.7767104097686556,500.0,0.05,lsqr,,
lda,bootstrap_1000,,0.7255285714285715,0.7300660162886957,0.7804870473955083,1000.0,0.05,lsqr,,
lda,10-fold,,0.7285714285714284,0.7186507936507937,0.7583333333333333,,0.06,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7379591836734694,,0.06,lsqr,,
lda,5x2-stratified,,0.7142857142857142,0.7177380952380952,0.7591836734693878,,0.06,lsqr,,
lda,bootstrap_10,,0.7671428571428571,0.789141420619635,0.8051921491053626,10.0,0.06,lsqr,,
lda,bootstrap_50,,0.7114285714285714,0.7071876580546969,0.7766771839087555,50.0,0.06,lsqr,,
lda,bootstrap_100,,0.7328571428571428,0.7402279487402116,0.7919452653369454,100.0,0.06,lsqr,,
lda,bootstrap_500,,0.7229428571428571,0.7246212645782325,0.7815436720652884,500.0,0.06,lsqr,,
lda,bootstrap_1000,,0.7236571428571429,0.7227481530509786,0.7806797418418714,1000.0,0.06,lsqr,,
lda,10-fold,,0.7285714285714284,0.7186507936507937,0.7583333333333333,,0.07,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7387755102040816,,0.07,lsqr,,
lda,5x2-stratified,,0.7142857142857142,0.7177380952380952,0.7612244897959185,,0.07,lsqr,,
lda,bootstrap_10,,0.71,0.6723487337000899,0.7665921905923355,10.0,0.07,lsqr,,
lda,bootstrap_50,,0.711142857142857,0.7204226723117675,0.7766338382211271,50.0,0.07,lsqr,,
lda,bootstrap_100,,0.7224285714285718,0.7208018942398575,0.780230010486382,100.0,0.07,lsqr,,
lda,bootstrap_500,,0.7229714285714285,0.7225682667668107,0.7800791778739237,500.0,0.07,lsqr,,
lda,bootstrap_1000,,0.7211,0.7224747570154608,0.7775821878112782,1000.0,0.07,lsqr,,
lda,10-fold,,0.7285714285714284,0.7186507936507937,0.7583333333333333,,0.08,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7387755102040816,,0.08,lsqr,,
lda,5x2-stratified,,0.7142857142857142,0.7177380952380952,0.7591836734693878,,0.08,lsqr,,
lda,bootstrap_10,,0.7242857142857144,0.7326090740876487,0.796133608569491,10.0,0.08,lsqr,,
lda,bootstrap_50,,0.7282857142857142,0.7251437577399759,0.7847922294953885,50.0,0.08,lsqr,,
lda,bootstrap_100,,0.7245714285714286,0.7255423166309777,0.7806423652259332,100.0,0.08,lsqr,,
lda,bootstrap_500,,0.7235142857142858,0.728414327922376,0.7799853959949897,500.0,0.08,lsqr,,
lda,bootstrap_1000,,0.7226571428571429,0.7245572916924834,0.7813334942551579,1000.0,0.08,lsqr,,
lda,10-fold,,0.7285714285714284,0.7186507936507937,0.7583333333333333,,0.09,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7395918367346939,,0.09,lsqr,,
lda,5x2-stratified,,0.7142857142857142,0.7177380952380952,0.7591836734693878,,0.09,lsqr,,
lda,bootstrap_10,,0.7185714285714286,0.7193823254464979,0.777901148364719,10.0,0.09,lsqr,,
lda,bootstrap_50,,0.7305714285714285,0.7367025954669473,0.7806073575871392,50.0,0.09,lsqr,,
lda,bootstrap_100,,0.721857142857143,0.7220736847234882,0.7794641866296952,100.0,0.09,lsqr,,
lda,bootstrap_500,,0.7245428571428572,0.7224820584840159,0.7836202155603776,500.0,0.09,lsqr,,
lda,bootstrap_1000,,0.7210714285714285,0.7201414671403168,0.7802502756786724,1000.0,0.09,lsqr,,
lda,10-fold,,0.7285714285714284,0.7186507936507937,0.7583333333333333,,0.1,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7395918367346939,,0.1,lsqr,,
lda,5x2-stratified,,0.7142857142857142,0.7177380952380952,0.7591836734693878,,0.1,lsqr,,
lda,bootstrap_10,,0.7357142857142858,0.7222956136748382,0.7916341209823583,10.0,0.1,lsqr,,
lda,bootstrap_50,,0.7142857142857143,0.7053711341482223,0.7834229976220702,50.0,0.1,lsqr,,
lda,bootstrap_100,,0.7242857142857143,0.7182260105730424,0.7791146158622685,100.0,0.1,lsqr,,
lda,bootstrap_500,,0.7237714285714285,0.7282744749433404,0.7797503574791875,500.0,0.1,lsqr,,
lda,bootstrap_1000,,0.7205999999999999,0.7219080453730091,0.7791226281610681,1000.0,0.1,lsqr,,
lda,10-fold,,0.7285714285714284,0.7186507936507937,0.7583333333333333,,0.11,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7395918367346939,,0.11,lsqr,,
lda,5x2-stratified,,0.7142857142857142,0.7177380952380952,0.7612244897959183,,0.11,lsqr,,
lda,bootstrap_10,,0.7242857142857144,0.7311134020665383,0.7828067358694847,10.0,0.11,lsqr,,
lda,bootstrap_50,,0.716,0.7179534310909679,0.7656380739922746,50.0,0.11,lsqr,,
lda,bootstrap_100,,0.7178571428571427,0.7216641236017353,0.7791418947101714,100.0,0.11,lsqr,,
lda,bootstrap_500,,0.7219714285714285,0.7247570800923051,0.7816867503200604,500.0,0.11,lsqr,,
lda,bootstrap_1000,,0.7224857142857143,0.7240066730206961,0.7806439464110072,1000.0,0.11,lsqr,,
lda,10-fold,,0.7142857142857142,0.6996031746031746,0.7583333333333333,,0.12,lsqr,,
lda,LOOCV,,0.7142857142857143,0.7222222222222222,0.7387755102040816,,0.12,lsqr,,
lda,5x2-stratified,,0.7142857142857142,0.7177380952380952,0.7612244897959183,,0.12,lsqr,,
lda,bootstrap_10,,0.7542857142857142,0.7719888862521578,0.7874805125606049,10.0,0.12,lsqr,,
lda,bootstrap_50,,0.7265714285714285,0.7172958292290645,0.7841891964366638,50.0,0.12,lsqr,,
lda,bootstrap_100,,0.7195714285714285,0.7190085854249197,0.7724200521417152,100.0,0.12,lsqr,,
